,V1,V2,V3,V4
33,chromacens.max.08,3.91E-27,1.97E-24,LibROSA
401,mfcc.std.16,5.78E-27,2.91E-24,LibROSA
56,chromacens.median.07,8.31E-27,4.18E-24,LibROSA
179,chromacqt.std.10,1.94E-26,9.74E-24,LibROSA
44,chromacens.mean.07,7.27E-26,3.66E-23,LibROSA
60,chromacens.median.11,1.45E-25,7.28E-23,LibROSA
167,chromacqt.skew.10,1.46E-25,7.33E-23,LibROSA
181,chromacqt.std.12,2.10E-25,1.06E-22,LibROSA
502,tonnetz.median.02,2.91E-25,1.46E-22,LibROSA
496,tonnetz.mean.02,4.85E-25,2.44E-22,LibROSA
168,chromacqt.skew.11,6.55E-25,3.29E-22,LibROSA
377,mfcc.skew.12,1.01E-24,5.08E-22,LibROSA
50,chromacens.median.01,1.05E-23,5.28E-21,LibROSA
252,chromastft.skew.11,1.69E-23,8.50E-21,LibROSA
171,chromacqt.std.02,2.41E-23,1.21E-20,LibROSA
376,mfcc.skew.11,3.74E-23,1.88E-20,LibROSA
52,chromacens.median.03,6.32E-23,3.18E-20,LibROSA
409,rmse.median.01,8.07E-23,4.06E-20,LibROSA
260,chromastft.std.07,8.68E-23,4.37E-20,LibROSA
421,spectralcentroid.max.01,8.96E-23,4.51E-20,LibROSA
174,chromacqt.std.05,1.14E-22,5.72E-20,LibROSA
414,spectralbandwidth.max.01,1.43E-22,7.20E-20,LibROSA
399,mfcc.std.14,4.62E-22,2.33E-19,LibROSA
461,spectralcontrast.min.07,7.29E-22,3.67E-19,LibROSA
380,mfcc.skew.15,8.53E-22,4.29E-19,LibROSA
177,chromacqt.std.08,1.98E-21,9.97E-19,LibROSA
381,mfcc.skew.16,2.61E-21,1.31E-18,LibROSA
39,chromacens.mean.02,3.67E-21,1.85E-18,LibROSA
378,mfcc.skew.13,6.73E-21,3.38E-18,LibROSA
530,zcr.skew.01,8.51E-21,4.28E-18,LibROSA
176,chromacqt.std.07,1.37E-20,6.89E-18,LibROSA
40,chromacens.mean.03,1.40E-20,7.03E-18,LibROSA
508,tonnetz.min.02,2.78E-20,1.40E-17,LibROSA
175,chromacqt.std.06,4.03E-20,2.03E-17,LibROSA
49,chromacens.mean.12,8.68E-20,4.36E-17,LibROSA
161,chromacqt.skew.04,9.89E-20,4.97E-17,LibROSA
46,chromacens.mean.09,1.69E-19,8.50E-17,LibROSA
408,rmse.mean.01,3.24E-19,1.63E-16,LibROSA
51,chromacens.median.02,5.13E-18,2.58E-15,LibROSA
489,tonnetz.max.01,6.99E-18,3.52E-15,LibROSA
164,chromacqt.skew.07,8.36E-18,4.21E-15,LibROSA
375,mfcc.skew.10,1.53E-17,7.68E-15,LibROSA
58,chromacens.median.09,2.45E-17,1.23E-14,LibROSA
501,tonnetz.median.01,2.66E-17,1.34E-14,LibROSA
61,chromacens.median.12,3.76E-17,1.89E-14,LibROSA
474,spectralcontrast.std.06,4.76E-17,2.39E-14,LibROSA
500,tonnetz.mean.06,9.06E-17,4.56E-14,LibROSA
529,zcr.min.01,2.29E-16,1.15E-13,LibROSA
166,chromacqt.skew.09,5.07E-16,2.55E-13,LibROSA
172,chromacqt.std.03,7.78E-16,3.91E-13,LibROSA
505,tonnetz.median.05,8.00E-14,4.02E-11,LibROSA
59,chromacens.median.10,9.70E-14,4.88E-11,LibROSA
69,chromacens.min.08,5.60E-13,2.82E-10,LibROSA
499,tonnetz.mean.05,6.05E-13,3.04E-10,LibROSA
57,chromacens.median.08,8.62E-13,4.34E-10,LibROSA
45,chromacens.mean.08,2.70E-12,1.36E-09,LibROSA
47,chromacens.mean.10,4.27E-12,2.15E-09,LibROSA
79,chromacens.skew.06,8.35E-12,4.20E-09,LibROSA
480,spectralrolloff.min.01,3.71E-11,1.86E-08,LibROSA
156,chromacqt.min.11,3.81E-11,1.92E-08,LibROSA
153,chromacqt.min.08,4.23E-11,2.13E-08,LibROSA
268,mfcc.kurtosis.03,4.93E-11,2.48E-08,LibROSA
527,zcr.mean.01,5.66E-11,2.85E-08,LibROSA
108,chromacqt.kurtosis.11,2.50E-10,1.26E-07,LibROSA
495,tonnetz.mean.01,6.12E-10,3.08E-07,LibROSA
84,chromacens.skew.11,9.10E-10,4.58E-07,LibROSA
424,spectralcentroid.min.01,1.57E-09,7.90E-07,LibROSA
148,chromacqt.min.03,2.37E-09,1.19E-06,LibROSA
520,tonnetz.std.02,5.36E-09,2.69E-06,LibROSA
515,tonnetz.skew.03,2.31E-08,1.16E-05,LibROSA
83,chromacens.skew.10,4.49E-08,2.26E-05,LibROSA
384,mfcc.skew.19,1.02E-07,5.12E-05,LibROSA
157,chromacqt.min.12,1.25E-07,6.27E-05,LibROSA
528,zcr.median.01,1.38E-07,6.93E-05,LibROSA
385,mfcc.skew.20,3.35E-07,0.000168388,LibROSA
366,mfcc.skew.01,5.28E-07,0.000265726,LibROSA
165,chromacqt.skew.08,8.15E-07,0.000409795,LibROSA
63,chromacens.min.02,9.95E-07,0.00050038,LibROSA
155,chromacqt.min.10,1.11E-06,0.000558282,LibROSA
516,tonnetz.skew.04,7.20E-06,0.003619383,LibROSA
74,chromacens.skew.01,7.94E-06,0.003995556,LibROSA
486,tonnetz.kurtosis.04,8.72E-06,0.004387645,LibROSA
77,chromacens.skew.04,1.35E-05,0.006782127,LibROSA
